"","churn","usecompetitors","sessions","FF","strategic","callcycle_Every.Other.Month","callcycle_Half.Year","callcycle_Monthly","callcycle_None","callcycle_Quarterly","callcycle_Yearly","Close.Date","First.Deal.Created.Date","Last.Call.Cycle.Date","Time.of.Last.Session","days_live"
"52",1,0,0,0,0,0,0,0,1,0,0,"8/24/2017 16:40","","","",NA
"53",0,1,0,0,0,0,0,0,0,0,1,"8/24/2017 18:12","","1/4/2019","",909
"54",1,0,0,0,0,0,0,0,1,0,0,"10/25/2017 19:32","","","",NA
"55",1,0,0,0,0,0,0,0,1,0,0,"8/24/2017 16:40","","","",NA
"56",1,0,0,1,0,0,0,0,0,1,0,"8/24/2017 16:40","2/7/2017 0:00","","",NA
"57",0,0,5,0,0,0,0,0,0,0,1,"8/24/2017 16:40","5/11/2017 0:00","6/3/2019","9/24/2019 9:58",1014
"58",0,0,1,0,0,0,0,0,0,0,1,"8/24/2017 16:40","2/16/2017 0:00","10/31/2018","3/15/2018 10:11",1098
"59",1,0,0,0,0,0,0,0,0,1,0,"10/26/2017 8:23","2/7/2017 0:00","","",NA
"60",0,0,0,0,0,0,0,0,0,0,1,"8/24/2017 16:40","10/10/2014 0:00","2/25/2019","",1958
"61",1,0,0,1,0,0,0,0,0,0,1,"6/13/2018 17:29","4/3/2017 0:00","","",NA
"62",1,0,2,0,0,0,0,0,0,0,1,"8/24/2017 16:40","3/29/2017 0:00","","3/27/2018 9:03",363
"63",0,0,0,1,0,0,1,0,0,0,0,"8/24/2017 16:40","5/8/2017 0:00","1/29/2019","",1017
"64",1,0,0,0,0,0,0,0,1,0,0,"8/24/2017 16:40","","","",NA
"65",0,0,1,0,0,0,0,0,0,0,1,"8/24/2017 16:40","2/16/2017 0:00","12/6/2018","5/2/2018 18:11",1098
"66",0,0,0,0,0,0,0,0,0,0,1,"8/24/2017 16:40","5/11/2017 0:00","11/14/2018","",1014
"67",0,0,0,1,0,0,0,0,0,0,1,"8/24/2017 16:40","4/12/2017 0:00","3/26/2019","",1043
"68",0,0,17,1,0,0,1,0,0,0,0,"8/24/2017 16:40","2/28/2017 0:00","5/6/2019","5/6/2019 15:47",1086
"69",0,0,0,1,0,0,0,0,0,0,1,"8/24/2017 16:40","5/9/2017 0:00","1/2/2019","",1016
"70",0,0,0,0,0,0,1,0,0,0,0,"3/4/2019 9:26","2/13/2019 12:48","4/12/2019","",371
"71",0,0,0,0,0,0,0,0,0,0,1,"8/24/2017 16:40","5/11/2017 0:00","4/12/2019","",1014
"72",0,0,1,1,0,0,0,0,0,0,1,"8/24/2017 16:40","11/6/2015 0:00","4/10/2019","7/9/2019 11:30",1566
"73",0,0,5,0,0,0,0,0,0,0,1,"8/24/2017 16:40","6/17/2013 0:00","4/24/2019","2/7/2019 14:06",2438
"74",0,1,8,1,0,0,0,0,0,0,1,"8/24/2017 16:40","2/28/2017 0:00","2/15/2019","1/23/2019 17:03",1086
"75",1,0,0,1,0,0,0,0,1,0,0,"8/23/2017 18:47","","","",NA
"76",0,0,3,0,0,0,0,0,0,1,0,"12/7/2018 9:54","3/7/2012 0:00","2/12/2019","8/7/2018 11:07",2905
"77",1,0,0,1,0,0,0,0,1,0,0,"10/26/2017 8:23","","","",NA
"78",0,0,0,1,0,0,0,0,0,0,1,"8/24/2017 16:40","5/9/2017 0:00","8/14/2019","",1016
"79",0,1,10,1,1,0,0,0,0,1,0,"8/24/2017 16:40","5/11/2017 0:00","10/23/2019","5/2/2019 11:06",1014
"80",0,0,2,0,0,0,0,0,0,0,1,"8/24/2017 16:40","5/8/2017 0:00","2/20/2019","11/13/2019 13:33",1017
"81",0,0,6,1,0,0,0,0,0,0,1,"2/7/2018 12:05","5/9/2017 0:00","1/18/2019","8/8/2018 21:46",1016
"82",0,0,3,0,0,0,0,0,0,0,1,"8/24/2017 16:40","2/16/2017 0:00","8/1/2019","2/11/2019 16:23",1098
"83",0,0,218,0,0,0,0,0,0,1,0,"8/24/2017 16:40","6/16/2018 11:42","5/3/2019","11/15/2019 6:17",909
"84",0,0,0,0,0,0,0,0,1,0,0,"8/23/2017 16:53","","","",910
"85",0,0,0,0,0,0,0,0,1,0,0,"8/23/2017 16:53","","","",910
"86",0,0,0,0,0,0,0,0,1,0,0,"8/23/2017 16:53","","","",910
"87",0,0,0,0,0,0,0,0,1,0,0,"8/23/2017 16:53","","","",910
"88",0,0,0,0,0,0,0,0,1,0,0,"8/23/2017 16:53","","","",910
"89",0,0,0,0,0,0,0,0,1,0,0,"8/23/2017 16:53","","","",910
"90",0,0,0,0,0,0,0,0,1,0,0,"8/23/2017 16:53","","","",910
